mode,workers,total_images,successful,failed,wall_time_seconds,throughput_images_per_second,speedup,efficiency_percent
sequential,1,10,10,0,0.0680056328419596,147.04664278677197,1.0,100.0
distributed,1,10,10,0,0.5992909090127796,16.68638694431915,0.1134768303994236,11.34768303994236
sequential,1,100,100,0,2.154634046833962,46.41159372142145,1.0,100.0
distributed,1,100,100,0,2.686518314993009,37.22289903698655,0.8020172558695432,80.20172558695432
distributed,2,100,100,0,2.1449681280646473,46.620739344144745,1.0045063227946591,50.22531613973295
distributed,2,100,100,0,1.9091153980698436,52.38028046974119,1.1286033568281642,56.430167841408206
sequential,1,100,100,0,1.8926211700309068,52.83677557002439,1.138439155680995,113.84391556809949
distributed,2,300,300,0,12.298567315097898,24.393085171125232,1.0563256067427547,52.816280337137734
distributed,2,300,300,0,10.69409180385992,28.05287307256126,1.2148101792522792,60.74050896261396
sequential,1,300,300,0,12.991291581187397,23.09239217095458,1.0,100.0
distributed,2,300,300,0,10.738617205992341,27.936557775110433,1.209773226103825,60.48866130519125
